Plot,Location,MAP,elevation,area,year,age,Tree,Species,DBH,Height,Volume,BA,wood,crown,root,total
3,Kainehe,2667,732,0.04,1961,22,1,ES,24.638,47.2,0.916,0.0477,256.7203253,9.740160114,70.27202271,336.7325082
3,Kainehe,2667,732,0.04,1961,22,2,EM,15.24,19.5,0.161,0.0182,52.15539189,3.369916476,21.84828929,77.37359766
3,Kainehe,2667,732,0.04,1961,22,3,EM,13.97,14.6,0.104,0.0153,39.07727991,2.780515444,17.68135963,59.53915498
3,Kainehe,2667,732,0.04,1961,22,4,EM,23.876,21.9,0.403,0.0448,231.3090299,9.086987733,65.10293029,305.4989479
3,Kainehe,2667,732,0.04,1961,22,5,ES,29.972,44.2,1.211,0.0705,491.8572965,15.0181779,113.1802473,620.0557217
3,Kainehe,2667,732,0.04,1961,22,6,ES,51.308,59.1,4.177,0.2068,2927.141844,49.25698213,418.3773138,3394.77614
3,Kainehe,2667,732,0.04,1961,22,7,EM,9.398,9.1,0.032,0.007,10.48886932,1.158072259,6.742488116,18.3894297
3,Kainehe,2667,732,0.04,1961,22,8,ES,5.08,6.1,0.007,0.002,1.362405268,0.297453939,1.510283738,3.170142945
3,Kainehe,2667,732,0.04,1961,22,9,EM,20.574,18.3,0.258,0.0333,141.162906,6.540208571,45.33035943,193.033474
3,Kainehe,2667,732,0.04,1961,22,10,ES,12.7,12.8,0.077,0.0126,28.4833899,2.252517501,14.02324906,44.75915646
3,Kainehe,2667,732,0.04,1961,22,11,ES,31.75,47.2,1.433,0.0792,595.4935141,17.05754882,130.2083239,742.7593868
3,Kainehe,2667,732,0.04,1961,22,12,ES,62.484,60,6.003,0.3067,5628.510659,76.13161951,675.6282139,6380.270492
3,Kainehe,2667,732,0.04,1961,22,13,ES,10.16,11.6,0.047,0.0081,13.58512484,1.375768939,8.150110474,23.11100425
3,Kainehe,2667,732,0.04,1961,22,14,ER,18.034,15.2,0.171,0.0255,91.17041756,4.888203422,32.90136384,128.9599848
3,Kainehe,2667,732,0.04,1961,22,15,EM,23.622,18.3,0.329,0.0439,223.2449899,8.874768313,63.43137528,295.5511335
3,Kainehe,2667,732,0.04,1961,22,16,ES,53.594,55.2,4.209,0.2256,3382.620875,54.2370468,465.1666044,3902.024526
3,Kainehe,2667,732,0.04,1961,22,17,ES,41.402,53,2.567,0.1346,1436.630321,30.663552,248.3097946,1715.603668
3,Kainehe,2667,732,0.04,1961,22,18,ES,12.7,14,0.084,0.0126,28.4833899,2.252517501,14.02324906,44.75915646
3,Kainehe,2667,732,0.04,1961,22,19,ES,25.908,21.3,0.452,0.0527,303.3071473,10.88418785,79.40890629,393.6002414
3,Kainehe,2667,732,0.04,1961,22,20,ES,49.022,51.8,3.316,0.1888,2516.349926,44.53821665,374.4802967,2935.368439
3,Kainehe,2667,732,0.04,1961,22,21,ES,21.082,17.7,0.261,0.0349,153.0616143,6.902350269,48.10071337,208.0646779
3,Kainehe,2667,732,0.04,1961,22,22,ER,16.002,14.6,0.133,0.0201,61.31984798,3.753504089,24.60083301,89.67418507
3,Kainehe,2667,732,0.04,1961,22,23,ES,38.862,54.6,2.362,0.1186,1164.442971,26.66058444,212.8742625,1403.977818
3,Kainehe,2667,732,0.04,1961,22,24,ES,31.242,48.8,1.438,0.0766,564.4639015,16.46035862,125.1995672,706.1238274
3,Kainehe,2667,732,0.04,1961,22,26,ES,53.594,54.9,4.185,0.2256,3382.620875,54.2370468,465.1666044,3902.024526
3,Kainehe,2667,732,0.04,1961,22,27,EM,18.288,16.5,0.189,0.0263,95.50074316,5.041619901,34.03973952,134.5821026
3,Kainehe,2667,732,0.04,1961,22,28,EM,10.16,11,0.045,0.0081,13.58512484,1.375768939,8.150110474,23.11100425
3,Kainehe,2667,732,0.04,1961,22,29,EM,28.448,19.5,0.488,0.0635,413.6609739,13.38262074,99.69005322,526.7336479
3,Kainehe,2667,732,0.04,1961,22,30,EM,14.224,13.4,0.099,0.0159,41.48463091,2.893446089,18.47340189,62.85147889
3,Kainehe,2667,732,0.04,1961,22,31,EM,13.208,12.2,0.079,0.0137,32.44179592,2.456424029,15.42672467,50.32494462
3,Kainehe,2667,732,0.04,1961,22,32,ES,47.244,58.5,3.575,0.1753,2226.071148,41.04713025,342.3017166,2609.419995
3,Kainehe,2667,732,0.04,1961,22,33,EM,17.272,17.1,0.177,0.0234,79.0036334,4.443471427,29.62206103,113.0691659
3,Kainehe,2667,732,0.04,1961,22,34,ES,30.988,31.7,0.921,0.0754,549.3810065,16.16612733,122.7384699,688.2856038
