"","t","BAU","Utopy"
"1",2025,1725.35898896678,1422.07866336464
"2",2026,1737.9042721954,1433.27249085215
"3",2027,1750.35406311109,1444.435383399
"4",2028,1762.71167686925,1455.56892218241
"5",2029,1774.98025128914,1466.67007695922
"6",2030,1787.16275591564,1477.73693621057
"7",2031,1799.2620007194,1488.76839696257
"8",2032,1811.28064443336,1499.76384255803
"9",2033,1823.22120254911,1510.72293359226
"10",2034,1835.08605496923,1521.6454963456
"11",2035,1846.87745331357,1532.53145978984
"12",2036,1858.59752788854,1543.38081861896
"13",2037,1870.24829432715,1554.19361073161
"14",2038,1881.83165990843,1564.96990305512
"15",2039,1893.34942956582,1575.70978236002
"16",2040,1904.80331159455,1586.41334915771
"17",2041,1916.19492306853,1597.08071355787
"18",2042,1927.52579497764,1607.71199240302
"19",2043,1938.79737709628,1618.30730725419
"20",2044,1950.01104259436,1628.86678295481
"21",2045,1961.16809240157,1639.3905465946
"22",2046,1972.26975933586,1649.87872675417
"23",2047,1983.31721200699,1660.3314529496
"24",2048,1994.31155850538,1670.74885522113
"25",2049,2005.25384988683,1681.13106382692
"26",2050,2016.14508346278,1691.47820901408
"27",2051,2026.98620590602,1701.79042084712
"28",2052,2037.77811618101,1712.06782907934
"29",2053,2048.52166830791,1722.31056305658
"30",2054,2059.217673969,1732.51875164544
"31",2055,2069.86690496563,1742.69252318026
"32",2056,2080.47009553392,1752.83200542426
"33",2057,2091.02794452664,1762.93732554176
"34",2058,2101.54111746863,1773.00861007869
"35",2059,2112.01024849262,1783.04598494973
"36",2060,2122.43594216224,1793.04957543034
"37",2061,2132.81877518833,1803.0195061527
"38",2062,2143.15929804461,1812.95590110461
"39",2063,2153.4580364884,1822.85888363062
"40",2064,2163.71549299184,1832.72857643493
"41",2065,2173.93214808858,1842.56510158554
"42",2066,2184.10846164094,1852.3685805194
"43",2067,2194.24487403201,1862.13913404829
"44",2068,2204.34180728583,1871.87688236514
"45",2069,2214.39966614101,1881.58194505075
"46",2070,2224.41883900815,1891.25444108071
"47",2071,2234.39969890265,1900.89448883247
"48",2072,2244.34260436322,1910.50220609239
"49",2073,2254.2479002538,1920.07771009086
"50",2074,2264.1159185284,1929.62111741882
"51",2075,2273.94697898008,1939.13254413483
"52",2076,2283.74138992869,1948.61210573423
"53",2077,2293.49944885381,1958.05991715269
"54",2078,2303.22144301949,1967.47609276382
"55",2079,2312.90765001501,1976.86074641589
"56",2080,2322.55833829125,1986.2139914198
"57",2081,2332.17376770456,1995.53594054899
"58",2082,2341.75418996893,2004.82670607837
"59",2083,2351.29984909148,2014.08639970324
"60",2084,2360.81098181039,2023.31513264092
"61",2085,2370.2878179911,2032.51301559999
"62",2086,2379.73058098551,2041.6801587826
"63",2087,2389.1394879983,2050.81667188097
"64",2088,2398.51475038663,2059.92266411147
"65",2089,2407.8565739688,2068.99824420191
"66",2090,2417.16515935254,2078.04352039037
"67",2091,2426.4407021857,2087.0586004614
"68",2092,2435.68339341369,2096.0435916672
"69",2093,2444.89341952329,2104.99860082406
"70",2094,2454.07096277062,2113.92373428187
"71",2095,2463.21620139561,2122.81909792535
"72",2096,2472.3293098239,2131.6847971809
"73",2097,2481.41045885683,2140.52093702051
"74",2098,2490.45981585043,2149.3276219655
"75",2099,2499.47754488383,2158.10495609021
"76",2100,2508.46380691791,2166.85304302558
