,t,SOC1,TEC2,forest,TEC1,delta1,delta forest,respiration1,releaseflux1,respiration2,releaseflux2
1,2025,564.7767899,567.2310751,367.0885377,931.8653276,0,0,0,0,0,0
2,2026,563.6522096,565.6866151,368.292808,931.9450176,-0.07969,-1.2042703,1.1245803,1.1245803,1.54446,1.54446
3,2027,562.5322016,564.1481811,369.4335096,931.9657113,-0.0206937,-1.1407016,1.1200079,2.2445882,1.538434,3.082894
4,2028,561.4167637,562.6157695,370.5142009,931.9309646,0.0347467,-1.0806913,1.115438,3.3600262,1.5324116,4.6153056
5,2029,560.3058906,561.0893729,371.538244,931.8441345,0.0868301,-1.0240431,1.1108732,4.4708994,1.5263966,6.1417022
6,2030,559.1995743,559.5689809,372.5088149,931.7083892,0.1357453,-0.9705709,1.1063162,5.5772156,1.520392,7.6620942
7,2031,558.0978046,558.0545804,373.4289128,931.5267174,0.1816718,-0.9200979,1.1017697,6.6789853,1.5144005,9.1764947
8,2032,557.0005692,556.5461559,374.301369,931.3019382,0.2247792,-0.8724562,1.0972354,7.7762207,1.5084245,10.6849192
9,2033,555.9078542,555.0436899,375.1288554,931.0367096,0.2652286,-0.8274864,1.092715,8.8689357,1.502466,12.1873852
10,2034,554.8196442,553.5471634,375.9138937,930.7335378,0.3031718,-0.7850383,1.0882101,9.9571458,1.4965265,13.6839117
11,2035,553.7359224,552.0565555,376.6588623,930.3947847,0.3387531,-0.7449686,1.0837217,11.0408675,1.4906079,15.1745196
12,2036,552.656671,550.5718444,377.3660049,930.0226759,0.3721088,-0.7071426,1.0792514,12.1201189,1.4847111,16.6592307
13,2037,551.5818714,549.0930071,378.0374372,929.6193086,0.4033673,-0.6714323,1.0747996,13.1949185,1.4788373,18.138068
14,2038,550.511504,547.6200196,378.6751541,929.1866582,0.4326504,-0.6377169,1.0703673,14.2652858,1.4729875,19.6110555
15,2039,549.4455487,546.1528571,379.2810365,928.7265852,0.460073,-0.6058824,1.0659554,15.3312412,1.4671625,21.078218
16,2040,548.3839846,544.6914944,379.8568573,928.240842,0.4857432,-0.5758208,1.061564,16.3928052,1.4613627,22.5395807
17,2041,547.3267907,543.2359053,380.4042876,927.7310783,0.5097637,-0.5474303,1.057194,17.4499992,1.4555891,23.9951698
18,2042,546.2739453,541.7860637,380.9249024,927.1988477,0.5322306,-0.5206148,1.0528454,18.5028446,1.4498416,25.4450114
19,2043,545.2254265,540.3419426,381.4201859,926.6456124,0.5532353,-0.4952835,1.0485188,19.5513634,1.4441211,26.8891325
20,2044,544.1812122,538.903515,381.8915369,926.0727491,0.5728633,-0.471351,1.0442143,20.5955777,1.4384276,28.3275601
21,2045,543.1412799,537.4707536,382.3402734,925.4815533,0.5911958,-0.4487365,1.0399323,21.63551,1.4327614,29.7603215
22,2046,542.1056072,536.0436308,382.7676373,924.8732445,0.6083088,-0.4273639,1.0356727,22.6711827,1.4271228,31.1874443
23,2047,541.0741714,534.6221191,383.1747988,924.2489702,0.6242743,-0.4071615,1.0314358,23.7026185,1.4215117,32.608956
24,2048,540.0469497,533.2061907,383.5628605,923.6098102,0.63916,-0.3880617,1.0272217,24.7298402,1.4159284,34.0248844
25,2049,539.0239194,531.7958177,383.9328614,922.9567808,0.6530294,-0.3700009,1.0230303,25.7528705,1.410373,35.4352574
26,2050,538.0050578,530.3909724,384.2857802,922.290838,0.6659428,-0.3529188,1.0188616,26.7717321,1.4048453,36.8401027
27,2051,536.9903419,528.9916269,384.6225394,921.6128814,0.6779566,-0.3367592,1.0147158,27.7864479,1.3993455,38.2394482
28,2052,535.979749,527.5977533,384.9440082,920.9237573,0.6891241,-0.3214688,1.0105929,28.7970408,1.3938736,39.6333218
29,2053,534.9732564,526.2093239,385.2510056,920.224262,0.6994953,-0.3069974,1.0064927,29.8035335,1.3884294,41.0217512
30,2054,533.9708413,524.8263108,385.5443033,919.5151446,0.7091174,-0.2932977,1.0024151,30.8059486,1.3830131,42.4047643
31,2055,532.9724812,523.4486865,385.8246288,918.7971099,0.7180347,-0.2803255,0.9983602,31.8043088,1.3776243,43.7823886
32,2056,531.9781533,522.0764234,386.0926676,918.0708209,0.726289,-0.2680388,0.9943278,32.7986366,1.3722631,45.1546517
33,2057,530.9878353,520.7094939,386.3490658,917.3369011,0.7339198,-0.2563982,0.990318,33.7889546,1.3669295,46.5215812
34,2058,530.0015049,519.3478707,386.5944326,916.5959374,0.7409637,-0.2453668,0.9863305,34.7752851,1.3616232,47.8832044
35,2059,529.0191395,517.9915264,386.8293421,915.8484817,0.7474557,-0.2349095,0.9823652,35.7576503,1.3563443,49.2395487
36,2060,528.0407172,516.640434,387.0543359,915.0950531,0.7534286,-0.2249938,0.9784224,36.7360727,1.3510924,50.5906411
37,2061,527.0662158,515.2945664,387.2699242,914.33614,0.7589131,-0.2155883,0.9745014,37.7105741,1.3458676,51.9365087
38,2062,526.0956134,513.9538967,387.4765886,913.572202,0.763938,-0.2066644,0.9706024,38.6811765,1.3406697,53.2771784
